124 187 917.5362519539057 14399.999986588955 3
0.5 0.3 0.2 
0.0 0.8013655397916133 1 2
0.0 0.6325355673239256 1 2
0.8 0.6880604671292875 1 1
0.0 0.02334371655154144 0 0
0.6 8.87767160275592E-4 1 0
0.4 0.6354708652588383 1 2
0.0 1.1535105502306067 0 2
0.0 1.184292137220743 1 2
0.8 0.5958729133094761 1 2
0.0 0.6646971831489356 0 0
0.0 0.6375074107110636 1 0
0.0 1.1996578402387272 1 0
0.8 0.6283796903974358 1 1
0.2 1.0061606801363316 1 0
0.2 1.2252010831263889 1 1
0.0 1.206679800961609 1 1
0.6 1.284681255558692 1 2
0.6 1.0502985746568636 1 2
0.4 1.2022742725780098 1 2
0.8 1.212898281682596 1 2
0.4 1.143119699524304 1 0
0.6 1.1260441385344362 1 0
0.0 1.0730763261545069 1 2
0.4 0.07252737694406533 1 0
0.4 0.9991416176073666 1 0
0.0 0.5455681465116908 0 2
0.2 1.2741597497962383 0 0
0.6 0.9685063274473491 1 1
0.8 0.41893906492677513 0 1
0.8 1.1391433246345346 0 1
0.2 0.11685462675454888 0 1
0.4 0.9834960081770739 1 1
0.0 1.2985527478460295 1 0
0.0 0.8846156400271342 0 1
0.0 1.302078035200966 0 1
0.8 1.2860593834031138 1 0
0.6 0.9728786537633582 1 1
0.6 0.9954743264113084 1 1
0.8 1.2660488559032363 1 2
0.6 0.27349743810128013 1 1
0.6 1.1715108966472274 1 2
0.2 0.9930425183173671 1 1
0.0 0.9640524609000785 0 0
0.4 1.1842853782360336 1 0
0.2 0.9963507663593392 0 0
0.6 1.2671692017620169 1 0
0.0 1.2098421045090697 1 0
0.2 0.5857975844095639 1 1
0.2 0.810041235775878 1 1
0.2 1.2680474722724184 1 1
0.6 0.5316350680589215 0 0
0.0 0.6531260416039435 1 0
0.4 0.813946535444284 0 0
0.4 0.5392709117060934 0 0
0.4 0.6748556209504483 1 1
0.2 1.244966193542817 1 0
0.2 1.1378755227929003 0 0
0.4 1.1328384553267454 1 2
0.4 0.15556237872247444 1 2
0.6 1.161628362575215 1 2
0.6 0.3048150245648359 1 2
0.2 1.1400273361601554 1 2
0.2 0.1841762198630091 1 2
0.0 1.1657007408706668 0 1
0.4 1.2141101609494194 0 1
0.2 0.0659699329645281 1 0
0.4 1.157753121226663 1 1
0.2 0.9447040400304146 0 1
0.0 1.0961765709391191 1 2
0.0 1.1032336434697996 1 0
0.6 0.45747527081723055 1 1
0.6 1.2241705861060312 1 1
0.6 1.096441127378849 1 0
0.4 0.8384224875240549 1 0
0.6 1.0897118433153579 1 2
0.8 1.0955330893146793 1 0
0.6 1.2209183870596922 1 1
0.2 1.186619924445408 1 2
0.6 0.7615410702988248 0 2
0.4 1.0820037021041218 1 0
0.0 0.5125573186109278 1 2
0.2 0.6850918912641027 0 0
0.6 0.9871565446429147 0 2
0.0 1.147513259656082 1 2
0.0 0.8004345854241701 1 0
0.2 0.7986442561529449 0 0
0.8 1.269370458307722 1 2
0.6 0.8018464074156286 1 1
0.8 1.2283909666677246 1 2
0.8 0.43694842798235417 1 2
0.6 0.9168144200389126 1 1
0.8 0.7747336895692588 1 2
0.4 1.0986573436750011 0 1
0.2 1.1806468499159501 1 0
0.2 0.7602315717083277 1 0
0.2 1.1747678847076508 1 0
0.0 1.3034430383483522 0 2
0.8 0.7325598515851689 0 0
0.6 1.0971298675468049 1 0
0.8 1.3052844536042798 1 0
0.8 1.2395472577353013 0 0
0.6 0.9698925794588287 1 0
0.0 1.160332690907647 0 2
0.2 0.8666335556029646 0 1
0.4 0.9603868399769204 1 0
0.2 1.0612564807043854 1 1
0.6 1.276995739594069 0 0
0.2 0.8480194378583487 1 2
0.6 1.3132555439964941 1 0
0.0 1.0739240105332917 1 2
0.2 1.3079629793220353 1 0
0.6 0.18352933895067525 1 0
0.2 0.10645630804992617 1 1
0.0 0.3379744837232176 1 1
0.0 1.083538857926526 1 1
0.6 1.277208523938706 0 1
0.0 1.0396683178134727 0 1
0.8 0.9584300700454731 1 1
0.4 1.033530271163572 1 1
0.2 0.9772520960754755 1 0
0.8 1.0256947082387609 1 0
0.4 1.0194549651221503 1 2
0.6 0.9982922910825885 1 2
0.4 1.2483490749511685 1 2
